Ticker,Month,Monthly_Return
ADANIENT,April,-6.0699240490759845
ADANIENT,August,-6.151216100707129
ADANIENT,December,20.580268337071995
ADANIENT,February,4.182654193752976
ADANIENT,January,7.70601947072536
ADANIENT,July,-0.4522897166907497
ADANIENT,June,-12.841368904739042
ADANIENT,March,-3.6655367231638447
ADANIENT,May,12.230227661534412
ADANIENT,November,0.4825688900915445
ADANIENT,October,23.45795371243062
ADANIENT,September,3.080058511250261
ADANIPORTS,April,-3.706664728541318
ADANIPORTS,August,-6.807533880451529
ADANIPORTS,December,23.74365788837883
ADANIPORTS,February,8.33982852689011
ADANIPORTS,January,15.250274371331793
ADANIPORTS,July,6.469989827060027
ADANIPORTS,June,-6.682660437513818
ADANIPORTS,March,1.493835564632025
ADANIPORTS,May,7.364804302360334
ADANIPORTS,November,47.8026264464959
ADANIPORTS,October,65.49795525619439
ADANIPORTS,September,-3.098026095684172
APOLLOHOSP,April,-7.900422006272015
APOLLOHOSP,August,3.2968507694142968
APOLLOHOSP,December,2.0201568550298368
APOLLOHOSP,February,-2.9636049904976893
APOLLOHOSP,January,10.485126216293764
APOLLOHOSP,July,7.732269359172708
APOLLOHOSP,June,5.7167760459392944
APOLLOHOSP,March,4.459854734282062
APOLLOHOSP,May,-2.0030040865646903
APOLLOHOSP,November,44.58517059136254
APOLLOHOSP,October,37.19024409302689
APOLLOHOSP,September,4.638047688606906
ASIANPAINT,April,0.17067223963776004
ASIANPAINT,August,0.8856695758788221
ASIANPAINT,December,7.216234953047204
ASIANPAINT,February,-3.6680492259374886
ASIANPAINT,January,-12.904508112246402
ASIANPAINT,July,5.350433772798676
ASIANPAINT,June,1.7652496991051778
ASIANPAINT,March,0.5297077778758718
ASIANPAINT,May,-3.165960879209527
ASIANPAINT,November,-15.755396909236522
ASIANPAINT,October,-7.300629963528421
ASIANPAINT,September,5.653850426061985
AXISBANK,April,10.711233501092032
AXISBANK,August,0.251642071142203
AXISBANK,December,-0.21273706603902923
AXISBANK,February,-0.8439013142725471
AXISBANK,January,-2.7284321763687753
AXISBANK,July,-7.591726761233075
AXISBANK,June,3.3785439986926957
AXISBANK,March,-4.735046622697289
AXISBANK,May,1.0697047440970722
AXISBANK,November,17.555052479934158
AXISBANK,October,11.382738581240094
AXISBANK,September,3.6507402422611115
BAJAJ-AUTO,April,-1.5317153553081955
BAJAJ-AUTO,August,11.932069266738598
BAJAJ-AUTO,December,12.424640881236506
BAJAJ-AUTO,February,3.3125428599418782
BAJAJ-AUTO,January,14.422259032099205
BAJAJ-AUTO,July,1.3826528471318984
BAJAJ-AUTO,June,1.780310536717554
BAJAJ-AUTO,March,13.782252597931599
BAJAJ-AUTO,May,-0.2842826801600285
BAJAJ-AUTO,November,77.41446574419713
BAJAJ-AUTO,October,96.08089385920321
BAJAJ-AUTO,September,10.963859753192946
BAJAJFINSV,April,-1.8833535844471445
BAJAJFINSV,August,9.068387570344996
BAJAJFINSV,December,-0.008897061004187013
BAJAJFINSV,February,-1.7537370935429217
BAJAJFINSV,January,-2.9288952517299056
BAJAJFINSV,July,4.521579546892801
BAJAJFINSV,June,0.7837288996065577
BAJAJFINSV,March,1.8873187058385903
BAJAJFINSV,May,-5.376210962889606
BAJAJFINSV,November,1.7802079028515116
BAJAJFINSV,October,12.152077127574392
BAJAJFINSV,September,7.217951155904492
BAJFINANCE,April,-4.51527041284245
BAJFINANCE,August,6.327852148294729
BAJFINANCE,December,0.9422331200451781
BAJFINANCE,February,-3.676983079501132
BAJFINANCE,January,-5.975435159370062
BAJFINANCE,July,-6.456178926031542
BAJFINANCE,June,2.8920331716204783
BAJFINANCE,March,10.253444825723397
BAJFINANCE,May,-2.6878986444273325
BAJFINANCE,November,-10.545510512720993
BAJFINANCE,October,-13.52791304784377
BAJFINANCE,September,3.5342504418653076
BEL,April,10.72951207958314
BEL,August,-3.808452514864203
BEL,December,24.923702950152595
BEL,February,11.832061068702284
BEL,January,0.513652338469866
BEL,July,2.7303754266211717
BEL,June,-4.001255295779068
BEL,March,-1.994163424124511
BEL,May,26.0702875399361
BEL,November,112.1223564954683
BEL,October,104.66954022988506
BEL,September,-3.974402155607934
BHARTIARTL,April,8.621185361646203
BHARTIARTL,August,5.549651278644966
BHARTIARTL,December,1.7246476791169802
BHARTIARTL,February,-2.419214732453104
BHARTIARTL,January,15.56191698336707
BHARTIARTL,July,2.5825309491059114
BHARTIARTL,June,3.8063403062324817
BHARTIARTL,March,8.85089040489057
BHARTIARTL,May,5.268202906330282
BHARTIARTL,November,71.7992227270239
BHARTIARTL,October,74.27861234194314
BHARTIARTL,September,8.794985203805648
BPCL,April,1.108706509072743
BPCL,August,2.4491549699226454
BPCL,December,2.8904109589041154
BPCL,February,18.762537859418643
BPCL,January,11.126841569703139
BPCL,July,14.940075521260876
BPCL,June,-8.745646691485529
BPCL,March,-3.353120487726613
BPCL,May,-1.080893706866671
BPCL,November,60.18492574950969
BPCL,October,82.06585423013826
BPCL,September,3.2082577765378715
BRITANNIA,April,-2.4360598136950484
BRITANNIA,August,2.1831889217559812
BRITANNIA,December,7.397274053211282
BRITANNIA,February,-3.562133395486162
BRITANNIA,January,-2.2820406782209957
BRITANNIA,July,5.623116954259104
BRITANNIA,June,5.955145322961415
BRITANNIA,March,-0.33382714045091666
BRITANNIA,May,8.827329740632202
BRITANNIA,November,10.25743069610898
BRITANNIA,October,27.393253178213524
BRITANNIA,September,7.024475908242783
CIPLA,April,-6.582590998565381
